time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,T_chiller_after,mflow_GHX_bypass,qghx_kW
0.0,1.0,0.6278738379478455,423.3807373046875,518.5400390625,523.039794921875,0.3284795582294464,94.28525
1.0,1.0,0.6280597865552409,422.6612640619278,518.5329345702194,523.0140319820493,0.3267469971906394,96.2825078125
2.0,1.0,0.6282457351626363,421.9417908191681,518.5258300779387,522.9882690422237,0.32501443615183234,98.279765625
3.0,1.0,0.6284316837700317,421.2223175764084,518.5187255856581,522.962506102398,0.3232818751130253,100.2770234375
4.0,1.0,0.6286176323774271,420.5028443336487,518.5116210933775,522.9367431625724,0.3215493140742183,102.27428125
5.0,1.0,0.6288035809848225,419.783371090889,518.5045166010968,522.9109802227467,0.31981675303541124,104.2715390625
6.0,1.0,0.6289895295922179,419.0638978481293,518.4974121088162,522.8852172829211,0.3180841919966042,106.268796875
7.0,1.0,0.6291754781996133,418.34442460536957,518.4903076165356,522.8594543430954,0.31635163095779717,108.2660546875
8.0,1.0,0.6293614268070087,417.62495136260986,518.4832031242549,522.8336914032698,0.31461906991899014,110.2633125
9.0,1.0,0.6295473754144041,416.90547811985016,518.4760986319743,522.8079284634441,0.3128865088801831,112.2605703125
10.0,1.0,0.6297333240217995,416.18600487709045,518.4689941396937,522.7821655236185,0.31115394784137607,114.257828125
11.0,1.0,0.6299192071019206,415.5506683588028,518.6011840850115,522.7591674812138,0.30961500108242035,116.0935546875
12.0,1.0,0.6301050901529379,414.9153320789337,518.733374029398,522.7361694350839,0.30807605385780334,117.92928125
13.0,1.0,0.6302909732039552,414.27999579906464,518.8655639737844,522.7131713889539,0.30653710663318634,119.7650078125
14.0,1.0,0.6304768562549725,413.64465951919556,518.9977539181709,522.690173342824,0.30499815940856934,121.600734375
15.0,1.0,0.6306627393059898,413.0093232393265,519.1299438625574,522.667175296694,0.30345921218395233,123.4364609375
16.0,1.0,0.6308486223570071,412.3739869594574,519.2621338069439,522.6441772505641,0.3019202649593353,125.2721875
17.0,1.0,0.6310345054080244,411.7386506795883,519.3943237513304,522.6211792044342,0.3003813177347183,127.1079140625
18.0,1.0,0.6312203884590417,411.10331439971924,519.5265136957169,522.5981811583042,0.2988423705101013,128.943640625
19.0,1.0,0.631406271510059,410.46797811985016,519.6587036401033,522.5751831121743,0.2973034232854843,130.7793671875
20.0,1.0,0.6315921545610763,409.8326418399811,519.7908935844898,522.5521850660443,0.2957644760608673,132.61509375
21.0,1.0,0.6317680418433156,409.30544739961624,519.8937561064959,522.5377502441406,0.2943878680234775,134.20418127441405
22.0,1.0,0.6319439291837625,408.77825319767,519.9966186583042,522.5233154296875,0.2930112599860877,135.79326879882814
23.0,1.0,0.6321198165242095,408.2510589957237,520.0994812101126,522.5088806152344,0.29163465194869787,137.3823563232422
24.0,1.0,0.6322957038646564,407.72386479377747,520.2023437619209,522.4944458007812,0.29025804391130805,138.97144384765625
25.0,1.0,0.6324715912051033,407.1966705918312,520.3052063137293,522.4800109863281,0.28888143587391824,140.5605313720703
26.0,1.0,0.6326474785455503,406.66947638988495,520.4080688655376,522.465576171875,0.2875048278365284,142.14961889648438
27.0,1.0,0.6328233658859972,406.1422821879387,520.510931417346,522.4511413574219,0.2861282197991386,143.73870642089844
28.0,1.0,0.6329992532264441,405.61508798599243,520.6137939691544,522.4367065429688,0.2847516117617488,145.3277939453125
29.0,1.0,0.6331751405668911,405.0878937840462,520.7166565209627,522.4222717285156,0.283375003724359,146.91688146972658
30.0,1.0,0.633351027907338,404.5606995820999,520.8195190727711,522.4078369140625,0.28199839568696916,148.50596899414063
31.0,1.0,0.6335040271223988,404.162075817585,520.8278747554868,522.3988952636719,0.2807613223558292,149.79276403808595
32.0,1.0,0.633657026279252,403.76345217227936,520.8362304680049,522.3899536132812,0.27952424879185855,151.07955932617188
33.0,1.0,0.6338100254361052,403.3648285269737,520.844586180523,522.3810119628906,0.27828717522788793,152.3663546142578
34.0,1.0,0.6339630245929584,402.9662048816681,520.8529418930411,522.3720703125,0.2770501016639173,153.65314990234376
35.0,1.0,0.6341160237498116,402.56758123636246,520.8612976055592,522.3631286621094,0.2758130280999467,154.93994519042968
36.0,1.0,0.6342690229066648,402.1689575910568,520.8696533180773,522.3541870117188,0.27457595453597605,156.22674047851564
37.0,1.0,0.6344220220635179,401.7703339457512,520.8780090305954,522.3452453613281,0.2733388809720054,157.51353576660156
38.0,1.0,0.6345750212203711,401.37171030044556,520.8863647431135,522.3363037109375,0.2721018074080348,158.8003310546875
39.0,1.0,0.6347280203772243,400.9730866551399,520.8947204556316,522.3273620605469,0.2708647338440642,160.08712634277344
40.0,1.0,0.6348810195340775,400.5744630098343,520.9030761681497,522.3184204101562,0.26962766028009355,161.37392163085937
41.0,1.0,0.6349997103243368,400.3121643066406,520.9014831542736,522.3102233884856,0.2685119181405753,162.33841564941406
42.0,1.0,0.6351184010563884,400.04986572265625,520.8998901366722,522.302026366815,0.2673961757682264,163.3029094238281
43.0,1.0,0.63523709178844,399.7875671386719,520.8982971190708,522.2938293451443,0.2662804333958775,164.2674031982422
