time_sec,opening_PV006,mflow_pump_out,T_pump_in,T_heater_out,T_chiller_after,mflow_GHX_bypass,qghx_kW
0.0,1.0,0.6278517246246338,422.0362548828125,515.9138793945312,523.2421875,0.3193599283695221,66.7268203125
1.0,1.0,0.6282164692820515,420.6144256591797,515.9695312492549,523.201300047338,0.3156263381242752,69.78647729492188
2.0,1.0,0.6285812139394693,419.1925964355469,516.0251831039786,523.160412594676,0.3118927478790283,72.84613427734375
3.0,1.0,0.6289459585968871,417.77076721191406,516.0808349587023,523.119525142014,0.30815915763378143,75.90579125976562
4.0,1.0,0.6293107032543048,416.34893798828125,516.136486813426,523.078637689352,0.30442556738853455,78.9654482421875
5.0,1.0,0.6296754479117226,414.92710876464844,516.1921386681497,523.03775023669,0.30069197714328766,82.02510522460938
6.0,1.0,0.6300401925691403,413.5052795410156,516.2477905228734,522.996862784028,0.29695838689804077,85.08476220703125
7.0,1.0,0.6304049372265581,412.0834503173828,516.3034423775971,522.9559753313661,0.2932247966527939,88.14441918945313
8.0,1.0,0.6307696818839759,410.66162109375,516.3590942323208,522.9150878787041,0.289491206407547,91.204076171875
9.0,1.0,0.6311344265413936,409.2397918701172,516.4147460870445,522.8742004260421,0.2857576161623001,94.26373315429687
10.0,1.0,0.6314991711988114,407.8179626464844,516.4703979417682,522.8333129733801,0.2820240259170532,97.32339013671876
11.0,1.0,0.631870943296235,406.5004394054413,516.4794250484556,522.7971740737557,0.27865792950615287,100.60680151367187
12.0,1.0,0.6322427153354511,405.1829161643982,516.4884521476924,522.7610351592302,0.2752918330952525,103.89021240234375
13.0,1.0,0.6326144873746671,403.8653929233551,516.4974792469293,522.7248962447047,0.27192573668435216,107.17362329101563
14.0,1.0,0.6329862594138831,402.547869682312,516.5065063461661,522.6887573301792,0.2685596402734518,110.4570341796875
15.0,1.0,0.6333580314530991,401.2303464412689,516.515533445403,522.6526184156537,0.26519354386255145,113.74044506835938
16.0,1.0,0.6337298034923151,399.91282320022583,516.5245605446398,522.6164795011282,0.2618274474516511,117.02385595703124
17.0,1.0,0.6341015755315311,398.59529995918274,516.5335876438767,522.5803405866027,0.25846135104075074,120.30726684570313
18.0,1.0,0.6344733475707471,397.27777671813965,516.5426147431135,522.5442016720772,0.2550952546298504,123.590677734375
19.0,1.0,0.6348451196099631,395.96025347709656,516.5516418423504,522.5080627575517,0.25172915821895003,126.87408862304687
20.0,1.0,0.6352168916491792,394.64273023605347,516.5606689415872,522.4719238430262,0.24836306180804968,130.15749951171875
21.0,1.0,0.6355923175869975,393.4641510248184,516.5740112308413,522.4382080063224,0.24533863365650177,133.33236083984374
22.0,1.0,0.6359677434084006,392.2855713367462,516.5873535163701,522.4044921845198,0.2423142045736313,136.5072216796875
23.0,1.0,0.6363431692298036,391.106991648674,516.6006958018988,522.3707763627172,0.2392897754907608,139.68208251953126
24.0,1.0,0.6367185950512066,389.9284119606018,516.6140380874276,522.3370605409145,0.23626534640789032,142.856943359375
25.0,1.0,0.6370940208726097,388.7498322725296,516.6273803729564,522.3033447191119,0.23324091732501984,146.03180419921875
26.0,1.0,0.6374694466940127,387.5712525844574,516.6407226584852,522.2696288973093,0.23021648824214935,149.2066650390625
27.0,1.0,0.6378448725154158,386.3926728963852,516.654064944014,522.2359130755067,0.22719205915927887,152.38152587890625
28.0,1.0,0.6382202983368188,385.214093208313,516.6674072295427,522.2021972537041,0.2241676300764084,155.55638671875
29.0,1.0,0.6385957241582219,384.0355135202408,516.6807495150715,522.1684814319015,0.2211432009935379,158.73124755859374
30.0,1.0,0.6389711499796249,382.8569338321686,516.6940918006003,522.1347656100988,0.21811877191066742,161.9061083984375
31.0,1.0,0.6393312811851501,381.88260191679,516.7480651848018,522.1040405277163,0.21541400393471122,164.68801879882812
32.0,1.0,0.6396914124488831,380.90827023983,516.8020385727286,522.0733154304326,0.21270923595875502,167.46992822265625
33.0,1.0,0.640051543712616,379.93393856287,516.8560119606555,522.0425903331488,0.21000446798279881,170.25183764648438
34.0,1.0,0.6404116749763489,378.95960688591003,516.9099853485823,522.0118652358651,0.2072997000068426,173.0337470703125
35.0,1.0,0.6407718062400818,377.98527520895004,516.9639587365091,521.9811401385814,0.2045949320308864,175.81565649414063
36.0,1.0,0.6411319375038147,377.01094353199005,517.0179321244359,521.9504150412977,0.2018901640549302,178.59756591796875
37.0,1.0,0.6414920687675476,376.03661185503006,517.0719055123627,521.919689944014,0.199185396078974,181.37947534179688
38.0,1.0,0.6418522000312805,375.06228017807007,517.1258789002895,521.8889648467302,0.1964806281030178,184.161384765625
39.0,1.0,0.6422123312950134,374.0879485011101,517.1798522882164,521.8582397494465,0.1937758601270616,186.94329418945313
40.0,1.0,0.6425724625587463,373.1136168241501,517.2338256761432,521.8275146521628,0.1910710921511054,189.72520361328125
41.0,1.0,0.6428824067115784,372.41203916072845,517.3317932114005,521.8020446784794,0.18866338138468564,191.90540771484376
42.0,1.0,0.6431923508644104,371.71046137809753,517.4297607392073,521.7765747085214,0.1862556696869433,194.0856123046875
43.0,1.0,0.6435022950172424,371.0088835954666,517.527728267014,521.7511047385633,0.18384795798920095,196.26581689453124
44.0,1.0,0.6438122391700745,370.3073058128357,517.6256957948208,521.7256347686052,0.1814402462914586,198.446021484375
45.0,1.0,0.6441221833229065,369.6057280302048,517.7236633226275,521.7001647986472,0.17903253459371626,200.62622607421875
46.0,1.0,0.6444321274757385,368.90415024757385,517.8216308504343,521.6746948286891,0.17662482289597392,202.8064306640625
47.0,1.0,0.6447420716285706,368.20257246494293,517.9195983782411,521.649224858731,0.17421711119823158,204.98663525390626
48.0,1.0,0.6450520157814026,367.500994682312,518.0175659060478,521.623754888773,0.17180939950048923,207.16683984375
49.0,1.0,0.6453619599342346,366.7994168996811,518.1155334338546,521.5982849188149,0.1694016878027469,209.34704443359374
50.0,1.0,0.6456719040870667,366.09783911705017,518.2135009616613,521.5728149488568,0.16699397610500455,211.5272490234375
51.0,1.0,0.6459001185162379,365.6888668392785,518.1040314160055,521.5527532880078,0.16483609639908536,213.03941456604005
52.0,1.0,0.6461277168441484,365.2819902454503,517.9909641243285,521.532745219476,0.16267944784704014,214.54681983947754
53.0,1.0,0.6463553151720589,364.8751136516221,517.8778968326515,521.5127371509443,0.1605227992949949,216.05422511291505
54.0,1.0,0.6465829134999694,364.4682370577939,517.7648295409745,521.4927290824126,0.15836615074294969,217.56163038635253
55.0,1.0,0.64681051182788,364.0613604639657,517.6517622492975,521.4727210138808,0.15620950219090446,219.06903565979005
56.0,1.0,0.6470381101557905,363.6544838701375,517.5386949576205,521.452712945349,0.15405285363885923,220.57644093322753
